"source_transaction_id","coverage_code","limits","deductable","per_occurance","premium","created_date"
"471368789_255821179","10",1000000,,1000000,150.00,
"471368986_255822817","09",1000000,,1000000,150.00,
"471401161_255923740","09",5000000,,1000000,200.00,
"471401163_255923742","09",5000000,,1000000,200.00,
"471401169_255923748","10",2000000,,1000000,170.00,
"471401170_255923749","10",5000000,,2000000,300.00,
"471401171_255923750","10",4000000,,1000000,192.00,
"471401173_255923752","10",5000000,,2000000,300.00,
"471401158_255923737","09",5000000,,1000000,200.00,
"471401159_255923738","09",3000000,,1000000,182.00,
"471401164_255923743","09",3000000,,1000000,182.00,
"471401166_255923745","10",5000000,,1000000,200.00,
"471401167_255923746","10",3000000,,1000000,182.00,
"471401168_255923747","10",4000000,,1000000,192.00,
"471401172_255923751","10",5000000,,2000000,300.00,
"471401162_255923741","09",1000000,,1000000,150.00,
"471401201_255923770","10",2000000,,1000000,170.00,
"471401202_255923771","10",3000000,,1000000,182.00,
"471401203_255923772","10",4000000,,1000000,192.00,
"471401204_255923773","10",5000000,,1000000,200.00,
"471401205_255923774","10",5000000,,2000000,300.00,
"471406956_255929849","10",1000000,,1000000,150.00,
"461766719_252247686","10",1000000,,1000000,150.00,
"471289491_252222352","10",1000000,,1000000,150.00,
"471368450_255818508","10",1000000,,1000000,150.00,
"471368669_255820520","10",1000000,,1000000,150.00,
"471368698_255820789","10",5000000,,1000000,200.00,
"471368959_255822638","10",1000000,,1000000,150.00,
"471407172_255932184","10",2000000,,1000000,170.00,
"471407173_255932198","12",1000000,,1000000,150.00,
"471407177_255932220","10",3000000,,1000000,182.00,
"471407204_255932489","10",1000000,,1000000,150.00,
"471407207_255932511","10",1000000,,1000000,150.00,
"471407214_255932573","10",3000000,,1000000,182.00,
"471426125_255968783","10",5000000,,1000000,200.00,
"471426128_255968786","10",3000000,,1000000,182.00,
"471426143_255968801","09",2000000,,1000000,170.00,
"471426152_255968809","10",1000000,,1000000,150.00,
"471426161_255968815","01",5000000,,1000000,200.00,
"471426163_255968817","10",1000000,,1000000,150.00,
"471426166_255968820","10",1000000,,1000000,150.00,
"471426168_255968822","10",5000000,,2000000,300.00,
"471426248_255968863","10",5000000,,1000000,200.00,
"471426249_255968864","10",5000000,,1000000,200.00,
"471426250_255968865","08",1000000,,1000000,150.00,
"471426279_255968890","10",5000000,,1000000,200.00,
"471426284_255968895","10",3000000,,1000000,182.00,
"471426349_255968957","09",5000000,,1000000,200.00,
"471426351_255968958","08",3000000,,1000000,182.00,
"471426383_255968961","10",1000000,,1000000,150.00,
"471426385_255968963","10",5000000,,2000000,300.00,
"471426392_255968970","10",1000000,,1000000,150.00,
"471426394_255968972","11",4000000,,1000000,192.00,
"471426395_255968973","01",1000000,,1000000,150.00,
"471426396_255968974","03",5000000,,1000000,200.00,
"471426437_255969015","09",5000000,,1000000,200.00,
"471426438_255969016","13",5000000,,1000000,200.00,
"471426493_255969061","06",1000000,,1000000,150.00,
"471426496_255969062","16",1000000,,1000000,150.00,
"471426497_255969063","01",1000000,,1000000,150.00,
"471426501_255969065","10",1000000,,1000000,150.00,
"471426505_255969067","30",4000000,,1000000,192.00,
"471426506_255969068","08",1000000,,1000000,150.00,
"471426510_255969069","07",2000000,,1000000,170.00,
"471426513_255969070","10",3000000,,1000000,182.00,
"471426518_255969071","11",2000000,,1000000,170.00,
"471426539_255969074","30",1000000,,1000000,150.00,
"471426545_255969075","14",2000000,,1000000,170.00,
"471426548_255969077","08",1000000,,1000000,150.00,
"471426620_255982177","15",2000000,,1000000,170.00,
"471428478_255982468","10",5000000,,1000000,200.00,
"471428482_255982485","10",5000000,,1000000,200.00,
"471428483_255982499","17",3000000,,1000000,182.00,
"471428484_255982504","08",3000000,,1000000,182.00,
"471428501_255982552","10",3000000,,1000000,182.00,
"471428504_255982566","10",5000000,,2000000,300.00,
"471431103_256026051","10",1000000,,1000000,150.00,
"471431559_256015955","10",5000000,,1000000,200.00,
"471431560_256015969","10",5000000,,1000000,200.00,
"471431561_256015972","08",3000000,,1000000,182.00,
"471432428_256024848","10",1000000,,1000000,150.00,
"471432459_256024798","10",1000000,,1000000,150.00,
"471432469_256024851","10",1000000,,1000000,150.00,
"471432478_256025773","10",1000000,,1000000,150.00,
"471432497_256025207","10",1000000,,1000000,150.00,
"471432499_256025210","10",3000000,,1000000,182.00,
"471432506_256025241","10",5000000,,1000000,200.00,
"471432576_256025966","10",1000000,,1000000,150.00,
"471432577_256025983","10",1000000,,1000000,150.00,
"471432612_256042864","10",5000000,,1000000,200.00,
"471432619_256026275","10",1000000,,1000000,150.00,
"471432620_256026289","10",4000000,,1000000,192.00,
"471432622_256026308","10",5000000,,2000000,300.00,
"471432624_256042346","10",1000000,,1000000,150.00,
"471432634_256026339","10",5000000,,1000000,200.00,
"471432635_256026342","30",1000000,,1000000,150.00,
"471432641_256026423","10",1000000,,1000000,150.00,
"471432643_256026440","10",1000000,,1000000,150.00,
"471432644_256026454","10",1000000,,1000000,150.00,
"471432645_256026468","10",1000000,,1000000,150.00,
